?gocam	?title	?controllers	?taxons	?taxon_labels	?modelstate
<http://model.geneontology.org/R-HSA-1169091>	Activation of NF-kappaB in B cells - imported from: Reactome	http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1169086,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-169696,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-434679,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-9012677,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-156467,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-68819,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-727820	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	development
<http://model.geneontology.org/R-HSA-983695>	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers - imported from: Reactome	http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1169086,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-167679,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1045152,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2089937,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-984807,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-9606165,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1861712,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-111856,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-114602,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-139839,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-169696,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-199426,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023861,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023864,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-398037,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-400011,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-434679,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8870313,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-9606888,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-9606895	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	development
<http://model.geneontology.org/R-HSA-114508>	Effects of PIP2 hydrolysis - imported from: Reactome	http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-114602,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-139839,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-167679,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-398037,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-111854,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-426070	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	development
<http://model.geneontology.org/R-HSA-112043>	PLC beta mediated events - imported from: Reactome	http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1169086,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-167679,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-111856,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-114602,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-169696,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-199426,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023861,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023864,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-398037,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-400011,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8870313	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	development
<http://model.geneontology.org/R-HSA-5607763>	CLEC7A (Dectin-1) induces NFAT activation - imported from: Reactome	http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1169086,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-167679,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2089937,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-111856,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-114602,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-139839,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-169696,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-199426,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023861,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023864,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-398037,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-400011,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-434679,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8870313,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2025947	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	development
<http://model.geneontology.org/R-HSA-5218920>	VEGFR2 mediated vascular permeability - imported from: Reactome	http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1045152,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-61459,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1497830,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2316432,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-165662,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-442295,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-74693,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-74787,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-392293,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-399836,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-399856,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-437157	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	development
<http://model.geneontology.org/R-HSA-4086398>	Ca2+ pathway - imported from: Reactome	http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1169086,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-167679,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-111856,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-114602,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-199426,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023861,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023864,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-398037,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-400011,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8870313,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-169696,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2025947,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-3965393,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-4085970,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-4332345,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-4332348,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-4411330,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-4411401,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-451336	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	development
<http://model.geneontology.org/R-HSA-389357>	CD28 dependent PI3K/Akt signaling - imported from: Reactome	http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1045152,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-61459,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-202074,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2316432,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-165662,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-74693,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-74787,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-392293,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-437157,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-211064,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-389388	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	development
<http://model.geneontology.org/R-HSA-1257604>	PI3K/AKT Signaling - imported from: Reactome	http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1045152,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-61459,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1806157,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1806229,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2316432,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-165662,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-74693,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-74787,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-392293,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-437157	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	development
<http://model.geneontology.org/R-HSA-392451>	G beta:gamma signalling through PI3Kgamma - imported from: Reactome	http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1045152,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-74693,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-74787,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-392293,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-437157	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	development
<http://model.geneontology.org/R-HSA-203615>	eNOS activation - imported from: Reactome	http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-61459,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1497830,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1497817,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1497889,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-203655,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-203757,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-5340212,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-6786641	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	development
<http://model.geneontology.org/R-HSA-422356>	Regulation of insulin secretion - imported from: Reactome	http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1169086,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-167679,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-111856,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-114602,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-169696,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-199426,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023861,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023864,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-398037,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-400011,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8870313,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-265561,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-387383,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-265569,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-500048	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	development
<http://model.geneontology.org/R-HSA-180024>	DARPP-32 events - imported from: Reactome	http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-170665,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-163622,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-180075,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-201779,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-165977,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-111920,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-111960,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-177290,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-180026,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-180064	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	development
<http://model.geneontology.org/R-HSA-2179392>	EGFR Transactivation by Gastrin - imported from: Reactome	http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-400011,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1430778,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2179409,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-422275	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	development
