?gocam	?title	?gp_labels	?gptypes	?taxons	?taxon_labels	?modelstate
<http://model.geneontology.org/5fadbcf000000868>	"dUMP catabolic process (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Upp1,Nt5c3,Dpyd,Upb1,Dpys,Agxt2,Nt5c	http://identifiers.org/mgi/MGI:1097668,http://identifiers.org/mgi/MGI:1927186,http://identifiers.org/mgi/MGI:2139667,http://identifiers.org/mgi/MGI:2143535,http://identifiers.org/mgi/MGI:1928679,http://identifiers.org/mgi/MGI:2146052,http://identifiers.org/mgi/MGI:1354954	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/61b2b68300000303>	"ERBB2-EGFR signaling pathway 5 (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Erbb2,Egf,Egfr	http://identifiers.org/mgi/MGI:95410,http://identifiers.org/mgi/MGI:95290,http://identifiers.org/mgi/MGI:95294	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/61e0e55600000430>	"Epidermal growth factor receptor signaling pathway 11 (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Egfr,Egf,Plcg1	http://identifiers.org/mgi/MGI:95294,http://identifiers.org/mgi/MGI:95290,http://identifiers.org/mgi/MGI:97615	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/622aace900000443>	"Fructose catabolic process (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Aldh1a7,Aldh1a1,Aldob,Khk,Glyctk	http://identifiers.org/mgi/MGI:1347050,http://identifiers.org/mgi/MGI:1353450,http://identifiers.org/mgi/MGI:87995,http://identifiers.org/mgi/MGI:1096353,http://identifiers.org/mgi/MGI:2444085	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/61b2b68300000408>	"ERBB2-EGFR signaling pathway 6 (Mouse) "^^<http://www.w3.org/2001/XMLSchema#string>	Egfr,Erbb2,Btc	http://identifiers.org/mgi/MGI:95294,http://identifiers.org/mgi/MGI:95410,http://identifiers.org/mgi/MGI:99439	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/5fa76ad400000018>	"AMP catabolic process 2 (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Entpd1,Slc29a1,Nt5e,Ampd3,Slc29a2	http://identifiers.org/mgi/MGI:102805,http://identifiers.org/mgi/MGI:1927073,http://identifiers.org/mgi/MGI:99782,http://identifiers.org/mgi/MGI:1096344,http://identifiers.org/mgi/MGI:1345278	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/622aace900000413>	"fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Aldob,Khk,Tkfc	http://identifiers.org/mgi/MGI:87995,http://identifiers.org/mgi/MGI:1096353,http://identifiers.org/mgi/MGI:2385084	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/5f46c3b700003802>	"dGMP catabolic process to allantoin (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Pnp,Gda,Xdh,Urah,Uox,Urad,Nt5c2,Nt5c,Nt5c1a,Dnph1	http://identifiers.org/mgi/MGI:97365,http://identifiers.org/mgi/MGI:95678,http://identifiers.org/mgi/MGI:98973,http://identifiers.org/mgi/MGI:1916142,http://identifiers.org/mgi/MGI:98907,http://identifiers.org/mgi/MGI:3647519,http://identifiers.org/mgi/MGI:2178563,http://identifiers.org/mgi/MGI:1354954,http://identifiers.org/mgi/MGI:2155700,http://identifiers.org/mgi/MGI:3039376	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/623d156d00000699>	"Glycogen catabolic process 1 (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Pgm1,Pygl,Agl,Pgm2,Phkg2	http://identifiers.org/mgi/MGI:97565,http://identifiers.org/mgi/MGI:97829,http://identifiers.org/mgi/MGI:1924809,http://identifiers.org/mgi/MGI:97564,http://identifiers.org/mgi/MGI:1916211	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/5fadbcf000000480>	"UMP catabolic process (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Agxt2,Upp1,Upp2,Dpyd,Upb1,Dpys,Nt5c,Nt5c3	http://identifiers.org/mgi/MGI:2146052,http://identifiers.org/mgi/MGI:1097668,http://identifiers.org/mgi/MGI:1923904,http://identifiers.org/mgi/MGI:2139667,http://identifiers.org/mgi/MGI:2143535,http://identifiers.org/mgi/MGI:1928679,http://identifiers.org/mgi/MGI:1354954,http://identifiers.org/mgi/MGI:1927186	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/61b2b68300000015>	"ERBB2-ERBB3 signaling pathway 2 (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Nrg2,Erbb2,Erbb3	http://identifiers.org/mgi/MGI:1098246,http://identifiers.org/mgi/MGI:95410,http://identifiers.org/mgi/MGI:95411	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/617b481400000995>	"Epidermal growth factor receptor signaling pathway 1 (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Egfr,Adam10,Egf,Mep1a,mEGF	http://identifiers.org/mgi/MGI:95294,http://identifiers.org/mgi/MGI:109548,http://identifiers.org/mgi/MGI:95290,http://identifiers.org/mgi/MGI:96963,http://purl.obolibrary.org/obo/PR_P01132	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/613aae0000000341>	"cobalamin transport 2, distribution to tissues (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Abcc1,Cd320,Tcn2	http://identifiers.org/mgi/MGI:102676,http://identifiers.org/mgi/MGI:1860083,http://identifiers.org/mgi/MGI:98534	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/57c82fad00000695>	"F13a1 and F13b-mouse-blood clotting"^^<http://www.w3.org/2001/XMLSchema#string>	F13a1,F2,F13b	http://identifiers.org/mgi/MGI:1921395,http://identifiers.org/mgi/MGI:88380,http://identifiers.org/mgi/MGI:88379	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/60ff660000001341>	"AMP salvage 2b, from adenosine (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Hprt,Ada,Pnp,Adsl,Adssl1	http://identifiers.org/mgi/MGI:96217,http://identifiers.org/mgi/MGI:87916,http://identifiers.org/mgi/MGI:97365,http://identifiers.org/mgi/MGI:103202,http://identifiers.org/mgi/MGI:87947	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/5f46c3b700003884>	"AMP catabolic process to allantoin (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Urah,Urad,Xdh,Nt5c1a,Nt5c1b,Ada,Pnp,Uox	http://identifiers.org/mgi/MGI:1916142,http://identifiers.org/mgi/MGI:3647519,http://identifiers.org/mgi/MGI:98973,http://identifiers.org/mgi/MGI:2155700,http://identifiers.org/mgi/MGI:1918131,http://identifiers.org/mgi/MGI:87916,http://identifiers.org/mgi/MGI:97365,http://identifiers.org/mgi/MGI:98907	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/60418ffa00001643>	"Deoxyinosine catabolic process (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Uox,Xdh,Urah,Urad,Pnp	http://identifiers.org/mgi/MGI:98907,http://identifiers.org/mgi/MGI:98973,http://identifiers.org/mgi/MGI:1916142,http://identifiers.org/mgi/MGI:3647519,http://identifiers.org/mgi/MGI:97365	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/622aace900000790>	"Galactose catabolic process via UDP-galactose"^^<http://www.w3.org/2001/XMLSchema#string>	Galk1,Gale,Galt,Galm,Pgm2,Pgm1	http://identifiers.org/mgi/MGI:95730,http://identifiers.org/mgi/MGI:1921496,http://identifiers.org/mgi/MGI:95638,http://identifiers.org/mgi/MGI:2442420,http://identifiers.org/mgi/MGI:97564,http://identifiers.org/mgi/MGI:97565	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/627d95ee00000044>	"3'-phosphoadenosine 5'-phosphosulfate biosynthetic process (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Papss2,Papss1,Slc26a1,Slc35b3,Slc35b2,Slc26a2	http://identifiers.org/mgi/MGI:1330223,http://identifiers.org/mgi/MGI:1330587,http://identifiers.org/mgi/MGI:2385894,http://identifiers.org/mgi/MGI:1913978,http://identifiers.org/mgi/MGI:1921086,http://identifiers.org/mgi/MGI:892977	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/61b2b68300000203>	"ERBB2-ERBB4 signaling pathway 3 (Mouse) "^^<http://www.w3.org/2001/XMLSchema#string>	Erbb4,Erbb2,Nrg1,Adam10,Adam17,Bace1	http://identifiers.org/mgi/MGI:104771,http://identifiers.org/mgi/MGI:95410,http://identifiers.org/mgi/MGI:96083,http://identifiers.org/mgi/MGI:109548,http://identifiers.org/mgi/MGI:1096335,http://identifiers.org/mgi/MGI:1346542	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/6258b8f300000188>	"Chondroitin sulfate biosynthetic process 1, chondroitin 6-sulfate proteoglycans (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Csgalnact2,Chst3,Chsy1,Chpf,Chpf2,Chsy3,Csgalnact1,Chst7	http://identifiers.org/mgi/MGI:1926002,http://identifiers.org/mgi/MGI:1858224,http://identifiers.org/mgi/MGI:2681120,http://identifiers.org/mgi/MGI:106576,http://identifiers.org/mgi/MGI:1917522,http://identifiers.org/mgi/MGI:1926173,http://identifiers.org/mgi/MGI:2442354,http://identifiers.org/mgi/MGI:1891767	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/627d95ee00001988>	"Regulation of Parp1 activity by Cgas, Setd7 and Riox1 (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Parp1,Riox1,Setd7,Cgas,Sgf29	http://identifiers.org/mgi/MGI:1340806,http://identifiers.org/mgi/MGI:1919202,http://identifiers.org/mgi/MGI:1920501,http://identifiers.org/mgi/MGI:2442261,http://identifiers.org/mgi/MGI:1922815	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/61283a3000000217>	"cobalamin metabolic process 1, adenosylation of cobalamin (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Mmachc,Mmab,Mmut,Mmadhc,Mmaa	http://identifiers.org/mgi/MGI:1914346,http://identifiers.org/mgi/MGI:1924947,http://identifiers.org/mgi/MGI:97239,http://identifiers.org/mgi/MGI:1923786,http://identifiers.org/mgi/MGI:1923805	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/627d95ee00000024>	"IL12-mediated signaling pathway (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	TYK2,STAT4,IL12A,IL12B,IL12RB1,JAK2,IL12RB2	http://identifiers.org/uniprot/P29597,http://identifiers.org/uniprot/Q14765,http://identifiers.org/uniprot/P29459,http://identifiers.org/uniprot/P29460,http://identifiers.org/uniprot/P42701,http://identifiers.org/uniprot/O60674,http://identifiers.org/uniprot/Q99665	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/60418ffa00001536>	"Deoxyguanosine catabolic process (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Urah,Uox,Urad,Pnp,Gda,Xdh	http://identifiers.org/mgi/MGI:1916142,http://identifiers.org/mgi/MGI:98907,http://identifiers.org/mgi/MGI:3647519,http://identifiers.org/mgi/MGI:97365,http://identifiers.org/mgi/MGI:95678,http://identifiers.org/mgi/MGI:98973	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/626b20c100001212>	"IL11-mediated signaling pathway (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	IL11,IL6ST,IL11RA,JAK1,STAT3	http://identifiers.org/uniprot/P20809,http://identifiers.org/uniprot/P40189,http://identifiers.org/uniprot/Q14626,http://identifiers.org/uniprot/P23458,http://identifiers.org/uniprot/P40763	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/626b20c100000025>	"IL9-mediated signaling pathway (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	IL2RG,JAK1,IL9,IL9R,STAT1,STAT3,STAT5A,JAK3	http://identifiers.org/uniprot/P31785,http://identifiers.org/uniprot/P23458,http://identifiers.org/uniprot/P15248,http://identifiers.org/uniprot/Q01113,http://identifiers.org/uniprot/P42224,http://identifiers.org/uniprot/P40763,http://identifiers.org/uniprot/P42229,http://identifiers.org/uniprot/P52333	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/5fa76ad400000374>	"IMP catabolic process to allantoin (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Pnp,Xdh,Nt5c2,Urad,Nt5c1a,Uox,Nt5c,Urah	http://identifiers.org/mgi/MGI:97365,http://identifiers.org/mgi/MGI:98973,http://identifiers.org/mgi/MGI:2178563,http://identifiers.org/mgi/MGI:3647519,http://identifiers.org/mgi/MGI:2155700,http://identifiers.org/mgi/MGI:98907,http://identifiers.org/mgi/MGI:1354954,http://identifiers.org/mgi/MGI:1916142	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/6246724f00001700>	"Hyaluronan catabolic process (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Hyal2,Chp1,Slc9a1,Lyve1,Stab2,Hmmr,Cd44,Gusb,Hexa,Hyal1,Hexb,Slc17a5	http://identifiers.org/mgi/MGI:1196334,http://identifiers.org/mgi/MGI:1927185,http://identifiers.org/mgi/MGI:102462,http://identifiers.org/mgi/MGI:2136348,http://identifiers.org/mgi/MGI:2178743,http://identifiers.org/mgi/MGI:104667,http://identifiers.org/mgi/MGI:88338,http://identifiers.org/mgi/MGI:95872,http://identifiers.org/mgi/MGI:96073,http://identifiers.org/mgi/MGI:96298,http://identifiers.org/mgi/MGI:96074,http://identifiers.org/mgi/MGI:1924105	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/62900b6400001385>	"Lysosome biogenesis by TFEB and regulation of cytoplasmic retention via phosphorylation by MTOR or alkylation (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	TFEB,YWHAZ,ACOD1,MTOR	http://identifiers.org/uniprot/P19484,http://identifiers.org/uniprot/P63104,http://identifiers.org/uniprot/A6NK06,http://identifiers.org/uniprot/P42345	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/626b20c100000185>	"Glycosaminoglycan biosynthetic process, linker formation (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Slc35b4,B3galt6,Xylt1,B4galt7,Uxs1,B3gat3,B3gat1,B3gat2,Xylt2	http://identifiers.org/mgi/MGI:1931249,http://identifiers.org/mgi/MGI:2152819,http://identifiers.org/mgi/MGI:2451073,http://identifiers.org/mgi/MGI:2384987,http://identifiers.org/mgi/MGI:1915133,http://identifiers.org/mgi/MGI:1919977,http://identifiers.org/mgi/MGI:1924148,http://identifiers.org/mgi/MGI:2389490,http://identifiers.org/mgi/MGI:2444797	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/60418ffa00001258>	"Deoxyadenosine catabolic process (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Xdh,Ada,Pnp,Urah,Uox,Urad	http://identifiers.org/mgi/MGI:98973,http://identifiers.org/mgi/MGI:87916,http://identifiers.org/mgi/MGI:97365,http://identifiers.org/mgi/MGI:1916142,http://identifiers.org/mgi/MGI:98907,http://identifiers.org/mgi/MGI:3647519	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/627d95ee00002067>	"Regulation of PARP2 activity by PARP1 and recruitment of APLF to DNA damage sites (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	APLF,PARP1,PARP2,MACROH2A1	http://identifiers.org/uniprot/Q8IW19,http://identifiers.org/uniprot/P09874,http://identifiers.org/uniprot/Q9UGN5,http://identifiers.org/uniprot/O75367	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/627d95ee00001139>	"Extraction of PARP1 trapped to chromatin by VCP/p97 following sumoylation  by PIAS4 and ubiquitination by RNF4 (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	VCP,RNF4,PARP1,PIAS4	http://identifiers.org/uniprot/P55072,http://identifiers.org/uniprot/P78317,http://identifiers.org/uniprot/P09874,http://identifiers.org/uniprot/Q8N2W9	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/627d95ee00002030>	"Activation of PARP2 activity by HPF1 during DNA repair (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	PARP2,HPF1	http://identifiers.org/uniprot/Q9UGN5,http://identifiers.org/uniprot/Q9NWY4	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/5fa76ad400000265>	"dAMP catabolic process to allantoin (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Pnp,Xdh,Urah,Uox,Nt5c1a,Urad,Ada	http://identifiers.org/mgi/MGI:97365,http://identifiers.org/mgi/MGI:98973,http://identifiers.org/mgi/MGI:1916142,http://identifiers.org/mgi/MGI:98907,http://identifiers.org/mgi/MGI:2155700,http://identifiers.org/mgi/MGI:3647519,http://identifiers.org/mgi/MGI:87916	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/62900b6400002552>	"Cobalamin transport, into enterocytes (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Ctrb1,Tcn2,Cblif,Prss3,Amn1,Prss1,Abcd4,Lmbrd1,Cubn	http://identifiers.org/mgi/MGI:88559,http://identifiers.org/mgi/MGI:98534,http://identifiers.org/mgi/MGI:1202394,http://identifiers.org/mgi/MGI:102758,http://identifiers.org/mgi/MGI:2442933,http://identifiers.org/mgi/MGI:98839,http://identifiers.org/mgi/MGI:1349217,http://identifiers.org/mgi/MGI:1915671,http://identifiers.org/mgi/MGI:1931256	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/62b4ffe300000418>	"Poxvirus-CRMA inhibition of cGAS-STING signaling (Human-Poxvirus) "^^<http://www.w3.org/2001/XMLSchema#string>	IRF3,TBK1,CRMA,STING1,IFNB1	http://identifiers.org/uniprot/Q14653,http://identifiers.org/uniprot/Q9UHD2,http://identifiers.org/uniprot/P07385,http://identifiers.org/uniprot/Q86WV6,http://identifiers.org/uniprot/P01574	http://purl.obolibrary.org/obo/NCBITaxon_9606,http://purl.obolibrary.org/obo/NCBITaxon_265872	Homo sapiens,Cowpox virus (Brighton Red)	"production"^^<http://www.w3.org/2001/XMLSchema#string>
