gocam,0
http://model.geneontology.org/62b4ffe300000418,Poxvirus-CRMA inhibition of cGAS-STING signaling (Human-Poxvirus) 
http://model.geneontology.org/62b4ffe300000418,Poxvirus-CRMA inhibition of cGAS-STING signaling (Human-Poxvirus) 
http://model.geneontology.org/62b4ffe300000418,Poxvirus-CRMA inhibition of cGAS-STING signaling (Human-Poxvirus) 
http://model.geneontology.org/62900b6400000500,Regulation of ACLY by acetylation by PCAF/KAT2B and ubiquitination (by UBR4) (Human)
http://model.geneontology.org/62900b6400000500,Regulation of ACLY by acetylation by PCAF/KAT2B and ubiquitination (by UBR4) (Human)
http://model.geneontology.org/62900b6400000500,Regulation of ACLY by acetylation by PCAF/KAT2B and ubiquitination (by UBR4) (Human)
http://model.geneontology.org/62900b6400000500,Regulation of ACLY by acetylation by PCAF/KAT2B and ubiquitination (by UBR4) (Human)
http://model.geneontology.org/62900b6400001836,Activation of METAP1 activity by zinc chaperone ZNG1 (Human)
http://model.geneontology.org/62900b6400001836,Activation of METAP1 activity by zinc chaperone ZNG1 (Human)
http://model.geneontology.org/62900b6400001630,PTEN in excitatory hippocampal synapse long-term depression (Human)
http://model.geneontology.org/62900b6400001630,PTEN in excitatory hippocampal synapse long-term depression (Human)
http://model.geneontology.org/62900b6400001630,PTEN in excitatory hippocampal synapse long-term depression (Human)
http://model.geneontology.org/62900b6400001630,PTEN in excitatory hippocampal synapse long-term depression (Human)
http://model.geneontology.org/627d95ee00001943,Activation of PARP1 activity by HPF1 during DNA repair (Human)
http://model.geneontology.org/627d95ee00001943,Activation of PARP1 activity by HPF1 during DNA repair (Human)
http://model.geneontology.org/62b4ffe300000241,Poxvirus-CRMB inhibition of TNF signaling pathway (Human-Poxvirus) 
http://model.geneontology.org/62b4ffe300000241,Poxvirus-CRMB inhibition of TNF signaling pathway (Human-Poxvirus) 
http://model.geneontology.org/62b4ffe300000241,Poxvirus-CRMB inhibition of TNF signaling pathway (Human-Poxvirus) 
http://model.geneontology.org/62b4ffe300000241,Poxvirus-CRMB inhibition of TNF signaling pathway (Human-Poxvirus) 
http://model.geneontology.org/62b4ffe300000241,Poxvirus-CRMB inhibition of TNF signaling pathway (Human-Poxvirus) 
http://model.geneontology.org/62b4ffe300000241,Poxvirus-CRMB inhibition of TNF signaling pathway (Human-Poxvirus) 
http://model.geneontology.org/627d95ee00001405,Il17A mediated signaling pathway (Human)
http://model.geneontology.org/627d95ee00001405,Il17A mediated signaling pathway (Human)
http://model.geneontology.org/627d95ee00001405,Il17A mediated signaling pathway (Human)
http://model.geneontology.org/627d95ee00001405,Il17A mediated signaling pathway (Human)
http://model.geneontology.org/627d95ee00001405,Il17A mediated signaling pathway (Human)
http://model.geneontology.org/627d95ee00001405,Il17A mediated signaling pathway (Human)
http://model.geneontology.org/627d95ee00001405,Il17A mediated signaling pathway (Human)
http://model.geneontology.org/627d95ee00000775,ADP-ribosylation of histones by PARP1 leading to recruitment of CHD1L  (Human)
http://model.geneontology.org/627d95ee00000775,ADP-ribosylation of histones by PARP1 leading to recruitment of CHD1L  (Human)
http://model.geneontology.org/627d95ee00000775,ADP-ribosylation of histones by PARP1 leading to recruitment of CHD1L  (Human)
http://model.geneontology.org/627d95ee00000775,ADP-ribosylation of histones by PARP1 leading to recruitment of CHD1L  (Human)
http://model.geneontology.org/600ced8500002343,SPModule-BMP9_ACVRL1
http://model.geneontology.org/600ced8500002343,SPModule-BMP9_ACVRL1
http://model.geneontology.org/600ced8500002343,SPModule-BMP9_ACVRL1
http://model.geneontology.org/600ced8500002343,SPModule-BMP9_ACVRL1
http://model.geneontology.org/600ced8500002343,SPModule-BMP9_ACVRL1
http://model.geneontology.org/62b4ffe300000067,Poxvirus-OPG044 inhibition of interferon beta induction (Human-Poxvirus)
http://model.geneontology.org/62b4ffe300000067,Poxvirus-OPG044 inhibition of interferon beta induction (Human-Poxvirus)
http://model.geneontology.org/62b4ffe300000067,Poxvirus-OPG044 inhibition of interferon beta induction (Human-Poxvirus)
http://model.geneontology.org/62b4ffe300000067,Poxvirus-OPG044 inhibition of interferon beta induction (Human-Poxvirus)
http://model.geneontology.org/62b4ffe300000067,Poxvirus-OPG044 inhibition of interferon beta induction (Human-Poxvirus)
http://model.geneontology.org/62b4ffe300000067,Poxvirus-OPG044 inhibition of interferon beta induction (Human-Poxvirus)
http://model.geneontology.org/5fce9b7300002336,SPModule-TREM1-DAP12
http://model.geneontology.org/5fce9b7300002336,SPModule-TREM1-DAP12
http://model.geneontology.org/5fce9b7300002336,SPModule-TREM1-DAP12
http://model.geneontology.org/5fce9b7300002336,SPModule-TREM1-DAP12
http://model.geneontology.org/5fce9b7300002336,SPModule-TREM1-DAP12
http://model.geneontology.org/5fce9b7300002336,SPModule-TREM1-DAP12
http://model.geneontology.org/5fce9b7300002336,SPModule-TREM1-DAP12
http://model.geneontology.org/623d156d00000817,Role of TONSL and MMS22L (TONSL-MMS22L complex) in promoting homologous recombination-mediated repair of DSBs (Human)
http://model.geneontology.org/623d156d00000817,Role of TONSL and MMS22L (TONSL-MMS22L complex) in promoting homologous recombination-mediated repair of DSBs (Human)
http://model.geneontology.org/623d156d00000817,Role of TONSL and MMS22L (TONSL-MMS22L complex) in promoting homologous recombination-mediated repair of DSBs (Human)
http://model.geneontology.org/623d156d00000817,Role of TONSL and MMS22L (TONSL-MMS22L complex) in promoting homologous recombination-mediated repair of DSBs (Human)
http://model.geneontology.org/623d156d00000817,Role of TONSL and MMS22L (TONSL-MMS22L complex) in promoting homologous recombination-mediated repair of DSBs (Human)
http://model.geneontology.org/623d156d00000817,Role of TONSL and MMS22L (TONSL-MMS22L complex) in promoting homologous recombination-mediated repair of DSBs (Human)
http://model.geneontology.org/627d95ee00001242,"Regulation of transcription elongation by the P-TEFb complex, NELFE and PARP1 (Human)"
http://model.geneontology.org/627d95ee00001242,"Regulation of transcription elongation by the P-TEFb complex, NELFE and PARP1 (Human)"
http://model.geneontology.org/627d95ee00001242,"Regulation of transcription elongation by the P-TEFb complex, NELFE and PARP1 (Human)"
http://model.geneontology.org/627d95ee00001242,"Regulation of transcription elongation by the P-TEFb complex, NELFE and PARP1 (Human)"
http://model.geneontology.org/627d95ee00001242,"Regulation of transcription elongation by the P-TEFb complex, NELFE and PARP1 (Human)"
http://model.geneontology.org/627d95ee00001242,"Regulation of transcription elongation by the P-TEFb complex, NELFE and PARP1 (Human)"
http://model.geneontology.org/5fce9b7300002436,SPModule TREM2-DAP12
http://model.geneontology.org/5fce9b7300002436,SPModule TREM2-DAP12
http://model.geneontology.org/5fce9b7300002436,SPModule TREM2-DAP12
http://model.geneontology.org/5fce9b7300002436,SPModule TREM2-DAP12
http://model.geneontology.org/623d156d00000673,IL5-mediated signaling pathway (Human)
http://model.geneontology.org/623d156d00000673,IL5-mediated signaling pathway (Human)
http://model.geneontology.org/623d156d00000673,IL5-mediated signaling pathway (Human)
http://model.geneontology.org/623d156d00000673,IL5-mediated signaling pathway (Human)
http://model.geneontology.org/623d156d00000673,IL5-mediated signaling pathway (Human)
http://model.geneontology.org/623d156d00000673,IL5-mediated signaling pathway (Human)
http://model.geneontology.org/5fce9b7300001590,SPModule-PGLYRP1/HSP701A
http://model.geneontology.org/5fce9b7300001590,SPModule-PGLYRP1/HSP701A
http://model.geneontology.org/5fce9b7300001590,SPModule-PGLYRP1/HSP701A
http://model.geneontology.org/613aae0000000011,SP-ANN-SEC14L1
http://model.geneontology.org/613aae0000000011,SP-ANN-SEC14L1
http://model.geneontology.org/613aae0000000011,SP-ANN-SEC14L1
http://model.geneontology.org/5fce9b7300001616,SPModule-PGRP1-S100A4
http://model.geneontology.org/5fce9b7300001616,SPModule-PGRP1-S100A4
http://model.geneontology.org/5fce9b7300001616,SPModule-PGRP1-S100A4
http://model.geneontology.org/5fce9b7300001616,SPModule-PGRP1-S100A4
http://model.geneontology.org/6205c24300000330,Microtubule polyglutamylation regulation (human)
http://model.geneontology.org/6205c24300000330,Microtubule polyglutamylation regulation (human)
http://model.geneontology.org/6205c24300000330,Microtubule polyglutamylation regulation (human)
http://model.geneontology.org/6205c24300000330,Microtubule polyglutamylation regulation (human)
http://model.geneontology.org/6205c24300000330,Microtubule polyglutamylation regulation (human)
http://model.geneontology.org/6205c24300000330,Microtubule polyglutamylation regulation (human)
http://model.geneontology.org/6205c24300000330,Microtubule polyglutamylation regulation (human)
http://model.geneontology.org/6205c24300000330,Microtubule polyglutamylation regulation (human)
http://model.geneontology.org/6205c24300000330,Microtubule polyglutamylation regulation (human)
http://model.geneontology.org/6205c24300000330,Microtubule polyglutamylation regulation (human)
http://model.geneontology.org/627d95ee00000472,IL15 signaling pathway (Human)
http://model.geneontology.org/627d95ee00000472,IL15 signaling pathway (Human)
http://model.geneontology.org/627d95ee00000472,IL15 signaling pathway (Human)
http://model.geneontology.org/627d95ee00000472,IL15 signaling pathway (Human)
http://model.geneontology.org/627d95ee00000472,IL15 signaling pathway (Human)
http://model.geneontology.org/627d95ee00000472,IL15 signaling pathway (Human)
http://model.geneontology.org/627d95ee00000472,IL15 signaling pathway (Human)
http://model.geneontology.org/627d95ee00000472,IL15 signaling pathway (Human)
http://model.geneontology.org/62183af000000874,miRNA maturation by TRUB1 (Human)
http://model.geneontology.org/62183af000000874,miRNA maturation by TRUB1 (Human)
http://model.geneontology.org/62183af000000874,miRNA maturation by TRUB1 (Human)
http://model.geneontology.org/617b481400000672,KAT5 chromatin localization (Human)
http://model.geneontology.org/617b481400000672,KAT5 chromatin localization (Human)
http://model.geneontology.org/617b481400000672,KAT5 chromatin localization (Human)
http://model.geneontology.org/623d156d00000290,IL4-mediated signaling pathway (human)
http://model.geneontology.org/623d156d00000290,IL4-mediated signaling pathway (human)
http://model.geneontology.org/623d156d00000290,IL4-mediated signaling pathway (human)
http://model.geneontology.org/623d156d00000290,IL4-mediated signaling pathway (human)
http://model.geneontology.org/623d156d00000290,IL4-mediated signaling pathway (human)
http://model.geneontology.org/623d156d00000290,IL4-mediated signaling pathway (human)
http://model.geneontology.org/623d156d00000290,IL4-mediated signaling pathway (human)
http://model.geneontology.org/59cc772c00000000,IL1beta-mediated signaling pathway (Human)
http://model.geneontology.org/59cc772c00000000,IL1beta-mediated signaling pathway (Human)
http://model.geneontology.org/59cc772c00000000,IL1beta-mediated signaling pathway (Human)
http://model.geneontology.org/59cc772c00000000,IL1beta-mediated signaling pathway (Human)
http://model.geneontology.org/59cc772c00000000,IL1beta-mediated signaling pathway (Human)
http://model.geneontology.org/59cc772c00000000,IL1beta-mediated signaling pathway (Human)
http://model.geneontology.org/59cc772c00000000,IL1beta-mediated signaling pathway (Human)
http://model.geneontology.org/59cc772c00000000,IL1beta-mediated signaling pathway (Human)
http://model.geneontology.org/59cc772c00000000,IL1beta-mediated signaling pathway (Human)
http://model.geneontology.org/623d156d00000340,IL3-mediated signaling pathway (Human)
http://model.geneontology.org/623d156d00000340,IL3-mediated signaling pathway (Human)
http://model.geneontology.org/623d156d00000340,IL3-mediated signaling pathway (Human)
http://model.geneontology.org/623d156d00000340,IL3-mediated signaling pathway (Human)
http://model.geneontology.org/623d156d00000340,IL3-mediated signaling pathway (Human)
http://model.geneontology.org/6168d1e000000007,SP_RNF26ubiquinatesSQSTM1
http://model.geneontology.org/6168d1e000000007,SP_RNF26ubiquinatesSQSTM1
http://model.geneontology.org/6168d1e000000007,SP_RNF26ubiquinatesSQSTM1
http://model.geneontology.org/6168d1e000000007,SP_RNF26ubiquinatesSQSTM1
http://model.geneontology.org/614fa6f900000500,SP-ANN-TUT1
http://model.geneontology.org/614fa6f900000500,SP-ANN-TUT1
http://model.geneontology.org/614fa6f900000500,SP-ANN-TUT1
http://model.geneontology.org/613aae0000001005,SP-ANN-RECQL5
http://model.geneontology.org/613aae0000001005,SP-ANN-RECQL5
http://model.geneontology.org/613aae0000001005,SP-ANN-RECQL5
http://model.geneontology.org/613aae0000001005,SP-ANN-RECQL5
http://model.geneontology.org/6205c24300001663,IL2 signaling pathway (Human)
http://model.geneontology.org/6205c24300001663,IL2 signaling pathway (Human)
http://model.geneontology.org/6205c24300001663,IL2 signaling pathway (Human)
http://model.geneontology.org/6205c24300001663,IL2 signaling pathway (Human)
http://model.geneontology.org/6205c24300001663,IL2 signaling pathway (Human)
http://model.geneontology.org/6205c24300001663,IL2 signaling pathway (Human)
http://model.geneontology.org/6205c24300001663,IL2 signaling pathway (Human)
http://model.geneontology.org/6205c24300001663,IL2 signaling pathway (Human)
http://model.geneontology.org/613aae0000000061,cGAS-STING (Human)
http://model.geneontology.org/613aae0000000061,cGAS-STING (Human)
http://model.geneontology.org/613aae0000000061,cGAS-STING (Human)
http://model.geneontology.org/613aae0000000061,cGAS-STING (Human)
http://model.geneontology.org/613aae0000000061,cGAS-STING (Human)
http://model.geneontology.org/613aae0000000061,cGAS-STING (Human)
http://model.geneontology.org/613aae0000000061,cGAS-STING (Human)
http://model.geneontology.org/613aae0000000061,cGAS-STING (Human)
http://model.geneontology.org/613aae0000000061,cGAS-STING (Human)
http://model.geneontology.org/613aae0000000061,cGAS-STING (Human)
http://model.geneontology.org/62183af000000536,DNA damage sensor activity of SIRT6 and its regulation by SIRT1 (Human)
http://model.geneontology.org/62183af000000536,DNA damage sensor activity of SIRT6 and its regulation by SIRT1 (Human)
http://model.geneontology.org/613aae0000000338,SP-ANN_TGM2
http://model.geneontology.org/613aae0000000338,SP-ANN_TGM2
http://model.geneontology.org/613aae0000000338,SP-ANN_TGM2
http://model.geneontology.org/6246724f00000331,Regulation of the NOD2 signaling pathway via RIPK2 ubiquitination by ZNRF4 (Human)
http://model.geneontology.org/6246724f00000331,Regulation of the NOD2 signaling pathway via RIPK2 ubiquitination by ZNRF4 (Human)
http://model.geneontology.org/6246724f00000331,Regulation of the NOD2 signaling pathway via RIPK2 ubiquitination by ZNRF4 (Human)
http://model.geneontology.org/6205c24300000880,Regulation of cholesterol biosynthesis by SREBP (SREBF1 and SREBF2) and retention by the SREBP-SCAP complex (Human)
http://model.geneontology.org/6205c24300000880,Regulation of cholesterol biosynthesis by SREBP (SREBF1 and SREBF2) and retention by the SREBP-SCAP complex (Human)
http://model.geneontology.org/6205c24300000880,Regulation of cholesterol biosynthesis by SREBP (SREBF1 and SREBF2) and retention by the SREBP-SCAP complex (Human)
http://model.geneontology.org/6205c24300000880,Regulation of cholesterol biosynthesis by SREBP (SREBF1 and SREBF2) and retention by the SREBP-SCAP complex (Human)
http://model.geneontology.org/6205c24300000880,Regulation of cholesterol biosynthesis by SREBP (SREBF1 and SREBF2) and retention by the SREBP-SCAP complex (Human)
http://model.geneontology.org/6205c24300000880,Regulation of cholesterol biosynthesis by SREBP (SREBF1 and SREBF2) and retention by the SREBP-SCAP complex (Human)
http://model.geneontology.org/6205c24300000880,Regulation of cholesterol biosynthesis by SREBP (SREBF1 and SREBF2) and retention by the SREBP-SCAP complex (Human)
http://model.geneontology.org/6205c24300000880,Regulation of cholesterol biosynthesis by SREBP (SREBF1 and SREBF2) and retention by the SREBP-SCAP complex (Human)
http://model.geneontology.org/6205c24300000880,Regulation of cholesterol biosynthesis by SREBP (SREBF1 and SREBF2) and retention by the SREBP-SCAP complex (Human)
http://model.geneontology.org/5ee8120100000524,SP_N4BP3on MAVS
http://model.geneontology.org/5ee8120100000524,SP_N4BP3on MAVS
http://model.geneontology.org/5ee8120100000524,SP_N4BP3on MAVS
http://model.geneontology.org/5ee8120100000524,SP_N4BP3on MAVS
http://model.geneontology.org/5e72450500004237,SARS-COV2/cycle
http://model.geneontology.org/5e72450500004237,SARS-COV2/cycle
http://model.geneontology.org/5e72450500004237,SARS-COV2/cycle
http://model.geneontology.org/5e72450500004237,SARS-COV2/cycle
http://model.geneontology.org/5e72450500004237,SARS-COV2/cycle
http://model.geneontology.org/5e72450500004237,SARS-COV2/cycle
http://model.geneontology.org/5e72450500004237,SARS-COV2/cycle
http://model.geneontology.org/5e72450500004237,SARS-COV2/cycle
http://model.geneontology.org/5e72450500004237,SARS-COV2/cycle
http://model.geneontology.org/5e72450500004237,SARS-COV2/cycle
http://model.geneontology.org/5e72450500004237,SARS-COV2/cycle
http://model.geneontology.org/5e72450500004237,SARS-COV2/cycle
http://model.geneontology.org/5e72450500004237,SARS-COV2/cycle
http://model.geneontology.org/5e72450500004237,SARS-COV2/cycle
http://model.geneontology.org/5e72450500004237,SARS-COV2/cycle
http://model.geneontology.org/5e72450500004237,SARS-COV2/cycle
http://model.geneontology.org/5e72450500004237,SARS-COV2/cycle
http://model.geneontology.org/617b481400000559,KAT5 regulation of lipid droplet disassembly (Human)
http://model.geneontology.org/617b481400000559,KAT5 regulation of lipid droplet disassembly (Human)
http://model.geneontology.org/617b481400000559,KAT5 regulation of lipid droplet disassembly (Human)
http://model.geneontology.org/617b481400000559,KAT5 regulation of lipid droplet disassembly (Human)
http://model.geneontology.org/617b481400000559,KAT5 regulation of lipid droplet disassembly (Human)
http://model.geneontology.org/5fb9cc0600000727,SPModule-TLR1/TLR2 activation
http://model.geneontology.org/5fb9cc0600000727,SPModule-TLR1/TLR2 activation
http://model.geneontology.org/5fb9cc0600000727,SPModule-TLR1/TLR2 activation
http://model.geneontology.org/5fb9cc0600000727,SPModule-TLR1/TLR2 activation
http://model.geneontology.org/5fb9cc0600000727,SPModule-TLR1/TLR2 activation
http://model.geneontology.org/5fb9cc0600000727,SPModule-TLR1/TLR2 activation
http://model.geneontology.org/5f46c3b700002685,IL6:sIL6R Trans-signaling pathway (Human)
http://model.geneontology.org/5f46c3b700002685,IL6:sIL6R Trans-signaling pathway (Human)
http://model.geneontology.org/5f46c3b700002685,IL6:sIL6R Trans-signaling pathway (Human)
http://model.geneontology.org/5f46c3b700002685,IL6:sIL6R Trans-signaling pathway (Human)
http://model.geneontology.org/5f46c3b700002685,IL6:sIL6R Trans-signaling pathway (Human)
http://model.geneontology.org/5f46c3b700002685,IL6:sIL6R Trans-signaling pathway (Human)
http://model.geneontology.org/5f46c3b700002685,IL6:sIL6R Trans-signaling pathway (Human)
http://model.geneontology.org/5e72450500004019,SARS-COV2/HOST\n
http://model.geneontology.org/5e72450500004019,SARS-COV2/HOST\n
http://model.geneontology.org/5e72450500004019,SARS-COV2/HOST\n
http://model.geneontology.org/5e72450500004019,SARS-COV2/HOST\n
http://model.geneontology.org/5e72450500004019,SARS-COV2/HOST\n
http://model.geneontology.org/5e72450500004019,SARS-COV2/HOST\n
http://model.geneontology.org/5e72450500004019,SARS-COV2/HOST\n
http://model.geneontology.org/5e72450500004019,SARS-COV2/HOST\n
http://model.geneontology.org/5e72450500004019,SARS-COV2/HOST\n
http://model.geneontology.org/5e72450500004019,SARS-COV2/HOST\n
http://model.geneontology.org/5e72450500004019,SARS-COV2/HOST\n
http://model.geneontology.org/5e72450500004019,SARS-COV2/HOST\n
http://model.geneontology.org/5e72450500004019,SARS-COV2/HOST\n
http://model.geneontology.org/5e72450500004019,SARS-COV2/HOST\n
http://model.geneontology.org/5e72450500004019,SARS-COV2/HOST\n
http://model.geneontology.org/5e72450500004019,SARS-COV2/HOST\n
http://model.geneontology.org/5e72450500004019,SARS-COV2/HOST\n
http://model.geneontology.org/5e72450500004019,SARS-COV2/HOST\n
http://model.geneontology.org/5e72450500004019,SARS-COV2/HOST\n
http://model.geneontology.org/61e0e55600001295,NLRP1 inflammasome leading to pyroptosis (Human)
http://model.geneontology.org/61e0e55600001295,NLRP1 inflammasome leading to pyroptosis (Human)
http://model.geneontology.org/61e0e55600001295,NLRP1 inflammasome leading to pyroptosis (Human)
http://model.geneontology.org/61e0e55600001295,NLRP1 inflammasome leading to pyroptosis (Human)
http://model.geneontology.org/61e0e55600001295,NLRP1 inflammasome leading to pyroptosis (Human)
http://model.geneontology.org/61e0e55600001295,NLRP1 inflammasome leading to pyroptosis (Human)
http://model.geneontology.org/5f46c3b700002102,SPModule-TIRAP-MYDDOSOME
http://model.geneontology.org/5f46c3b700002102,SPModule-TIRAP-MYDDOSOME
http://model.geneontology.org/5f46c3b700002102,SPModule-TIRAP-MYDDOSOME
http://model.geneontology.org/5f46c3b700002102,SPModule-TIRAP-MYDDOSOME
http://model.geneontology.org/5f46c3b700002102,SPModule-TIRAP-MYDDOSOME
http://model.geneontology.org/5fadbcf000001101,SPModule IFIH1-MAVS
http://model.geneontology.org/5fadbcf000001101,SPModule IFIH1-MAVS
http://model.geneontology.org/5fadbcf000001101,SPModule IFIH1-MAVS
http://model.geneontology.org/5fadbcf000001646,SP_SIK2-actvity-on-P300
http://model.geneontology.org/5fadbcf000001646,SP_SIK2-actvity-on-P300
http://model.geneontology.org/5fadbcf000001646,SP_SIK2-actvity-on-P300
http://model.geneontology.org/5fadbcf000001646,SP_SIK2-actvity-on-P300
http://model.geneontology.org/622aace900000522,ADP-ribosyltransferase activity of SIRT6 and ADP-ribosylation of PARP1 during DNA repair (Human)
http://model.geneontology.org/622aace900000522,ADP-ribosyltransferase activity of SIRT6 and ADP-ribosylation of PARP1 during DNA repair (Human)
http://model.geneontology.org/622aace900000522,ADP-ribosyltransferase activity of SIRT6 and ADP-ribosylation of PARP1 during DNA repair (Human)
http://model.geneontology.org/622aace900000522,ADP-ribosyltransferase activity of SIRT6 and ADP-ribosylation of PARP1 during DNA repair (Human)
http://model.geneontology.org/617b481400000460,KAT5 involvement in DNA repair via homologous recombination (Human)
http://model.geneontology.org/617b481400000460,KAT5 involvement in DNA repair via homologous recombination (Human)
http://model.geneontology.org/617b481400000460,KAT5 involvement in DNA repair via homologous recombination (Human)
http://model.geneontology.org/617b481400000460,KAT5 involvement in DNA repair via homologous recombination (Human)
http://model.geneontology.org/617b481400000460,KAT5 involvement in DNA repair via homologous recombination (Human)
http://model.geneontology.org/617b481400000460,KAT5 involvement in DNA repair via homologous recombination (Human)
http://model.geneontology.org/617b481400000460,KAT5 involvement in DNA repair via homologous recombination (Human)
http://model.geneontology.org/617b481400000460,KAT5 involvement in DNA repair via homologous recombination (Human)
http://model.geneontology.org/617b481400000389,KAT5 regulation of the cytoskeleton by acetylation of proteins (Human)
http://model.geneontology.org/617b481400000389,KAT5 regulation of the cytoskeleton by acetylation of proteins (Human)
http://model.geneontology.org/617b481400000389,KAT5 regulation of the cytoskeleton by acetylation of proteins (Human)
http://model.geneontology.org/617b481400000389,KAT5 regulation of the cytoskeleton by acetylation of proteins (Human)
http://model.geneontology.org/617b481400000389,KAT5 regulation of the cytoskeleton by acetylation of proteins (Human)
http://model.geneontology.org/5fadbcf000001962,T-helper 17 cell lineage commitment by IL6 cluster (Human)
http://model.geneontology.org/5fadbcf000001962,T-helper 17 cell lineage commitment by IL6 cluster (Human)
http://model.geneontology.org/5fadbcf000001962,T-helper 17 cell lineage commitment by IL6 cluster (Human)
http://model.geneontology.org/5fadbcf000001962,T-helper 17 cell lineage commitment by IL6 cluster (Human)
http://model.geneontology.org/5fadbcf000001962,T-helper 17 cell lineage commitment by IL6 cluster (Human)
http://model.geneontology.org/5fadbcf000001962,T-helper 17 cell lineage commitment by IL6 cluster (Human)
http://model.geneontology.org/5fadbcf000001962,T-helper 17 cell lineage commitment by IL6 cluster (Human)
http://model.geneontology.org/5f46c3b700001031,TLR4 signaling pathway (Human)
http://model.geneontology.org/5f46c3b700001031,TLR4 signaling pathway (Human)
http://model.geneontology.org/5f46c3b700001031,TLR4 signaling pathway (Human)
http://model.geneontology.org/5f46c3b700001031,TLR4 signaling pathway (Human)
http://model.geneontology.org/5f46c3b700001031,TLR4 signaling pathway (Human)
http://model.geneontology.org/617b481400000521,KAT5 involvement in nucleotide excision repair (Human)
http://model.geneontology.org/617b481400000521,KAT5 involvement in nucleotide excision repair (Human)
http://model.geneontology.org/617b481400000521,KAT5 involvement in nucleotide excision repair (Human)
http://model.geneontology.org/617b481400000521,KAT5 involvement in nucleotide excision repair (Human)
http://model.geneontology.org/617b481400000521,KAT5 involvement in nucleotide excision repair (Human)
http://model.geneontology.org/61b2b68300000000,NLRP6 inflammasome (Human)
http://model.geneontology.org/61b2b68300000000,NLRP6 inflammasome (Human)
http://model.geneontology.org/61b2b68300000000,NLRP6 inflammasome (Human)
http://model.geneontology.org/61b2b68300000000,NLRP6 inflammasome (Human)
