# SimpleMine Results Based on Alliance of Genome Resources
# Alliance Database Version: 5.0.0
# Date file generated (UTC): 2022-01-11 23:00
Your Input	Gene ID	Gene Symbol	Gene Name	Species	NCBI ID	ENSEMBL ID	UniProtKB ID	PANTHER ID	Synonym	Mouse Ortholog
HGNC:1001	HGNC:1001	BCL6	BCL6 transcription repressor	Homo sapiens	604	ENSG00000113916	A0A510GDE0 | P41182 | A0N7C6 | A0N7C7 | A5PL18 | Q16413 | B5B0A5 | A0A0C4DH53 | C9JCS5 | C9JL16	N.A.	ZNF51 | protein LAZ-3 | B-cell lymphoma 6 protein | zinc finger protein 51 | B-cell lymphoma 6 protein transcript | BCL-6 | lymphoma-associated zinc finger gene on chromosome 3 | B-cell CLL/lymphoma 6 | BCL6, transcription repressor | zinc finger transcription factor BCL6S | ZBTB27 | zinc finger and BTB domain-containing protein 27 | cys-his2 zinc finger transcription factor | B cell CLL/lymphoma 6 | B-cell lymphoma 5 protein | LAZ3 | BCL5 | BCL-5 | BCL6A	MGI:107187:Bcl6
HGNC:10010	HGNC:10010	RHEBP1	RHEB pseudogene 1	Homo sapiens	6008	ENSG00000229927	N.A.	N.A.	RHEB1 | Ras-homolog enriched in brain pseudogene 1 | RHEB	N.A.
HGNC:10011	HGNC:10011	RHEB	"Ras homolog, mTORC1 binding"	Homo sapiens	6009	ENSG00000106615	Q6NZ61 | Q15382 | A0A090N900 | C9J469 | C9J931 | F8WBL3	PTHR24070	Ras homolog enriched in brain 2 | GTP-binding protein Rheb | MGC111559 | RHEB2 | Ras homolog enriched in brain	MGI:97912:Rheb
HGNC:10012	HGNC:10012	RHO	rhodopsin	Homo sapiens	6010	ENSG00000163914	P08100 | A0A0M3R835 | A0A076V826 | A0A0K0Q0G7	N.A.	CSNBAD1 | MGC138309 | RP4 | opsin-2 | OPN2 | retinitis pigmentosa 4, autosomal dominant | MGC138311 | rhodopsin (opsin 2, rod pigment) (retinitis pigmentosa 4, autosomal dominant) | opsin 2, rod pigment	MGI:97914:Rho
HGNC:10013	HGNC:10013	GRK1	G protein-coupled receptor kinase 1	Homo sapiens	6011	ENSG00000288263	B9EIS4 | Q15835 | A0A0J9YXB6 | Q71VB6 | O95098	PTHR24355	RHOK | RK | GPRK1 | rhodopsin kinase | rhodopsin kinase GRK1	MGI:1345146:Grk1
HGNC:10017	HGNC:10017	RIT2	Ras like without CAAX 2	Homo sapiens	6014	ENSG00000152214	Q99578 | A0A3B3ITB4 | K7EMR8	PTHR24070	RIN | RIBA | Ras-like without CAAX 2 | ROC2 | ras-like without CAAX protein 2 | Ric-like, expressed in neurons | GTP-binding protein Roc2 | ras-like protein expressed in neurons | GTP-binding protein Rit2	MGI:108054:Rit2
HGNC:10018	HGNC:10018	RING1	ring finger protein 1	Homo sapiens	6015	ENSG00000206287	A0A024RCR9 | Q06587 | A0A1U9X8F2	PTHR46076	really interesting new gene 1 protein | E3 ubiquitin-protein ligase RING1 | RNF1 | RING1A | RING-type E3 ubiquitin transferase RING1 | polycomb complex protein RING1	MGI:1101770:Ring1
HGNC:10019	HGNC:10019	RIPK1	receptor interacting serine/threonine kinase 1	Homo sapiens	8737	ENSG00000137275	Q13546 | A0A024QZU0	N.A.	cell death protein RIP | IMD57 | receptor-interacting protein kinase 1 | RIP-1 | receptor-interacting protein 1 | receptor (TNFRSF)-interacting serine-threonine kinase 1 | serine/threonine-protein kinase RIP | receptor-interacting serine/threonine-protein kinase 1 | FLJ39204 | RIP1 | RIP | receptor interacting protein | AIEFL	MGI:108212:Ripk1
HGNC:1002	HGNC:1002	BCL6B	BCL6B transcription repressor	Homo sapiens	255877	ENSG00000161940	Q8N143 | I3L304 | A8KA13 | I3L396 | H0YGW0	N.A.	BAZF | bcl6-associated zinc finger protein | B-cell CLL/lymphoma 6, member B | B-cell CLL/lymphoma 6B | ZNF62 | B-cell CLL/lymphoma 6 member B protein | B cell CLL/lymphoma 6B | zinc finger protein 62 | BCL6B, transcription repressor | B-cell CLL/lymphoma 6, member B (zinc finger protein) | ZBTB28	MGI:1278332:Bcl6b
HGNC:10020	HGNC:10020	RIPK2	receptor interacting serine/threonine kinase 2	Homo sapiens	8767	ENSG00000104312	Q6Q322 | O43353 | A0A0S2Z4Z8 | E5RGK6 | E7ERW9	N.A.	RICK | RIP-2 | CARD-containing IL-1 beta ICE-kinase | CARDIAK | CARD-containing interleukin-1 beta-converting enzyme-associated kinase | receptor-interacting protein 2 | tyrosine-protein kinase RIPK2 | CARD-containing interleukin-1 beta-converting enzyme (ICE)-associated kinase | receptor-interacting protein (RIP)-like interacting caspase-like apoptosis regulatory protein (CLARP) kinase | receptor-interacting serine-threonine kinase 2 | receptor interacting protein 2 | growth-inhibiting gene 30 | GIG30 | CARD3 | CARD-carrying kinase | receptor-interacting serine/threonine-protein kinase 2 | RIP2 | RIP-like-interacting CLARP kinase | CCK	MGI:1891456:Ripk2
HGNC:10021	HGNC:10021	RIPK3	receptor interacting serine/threonine kinase 3	Homo sapiens	11035	ENSG00000285379	Q9Y572 | H0YJN5	N.A.	RIP-like protein kinase 3 | receptor-interacting serine/threonine-protein kinase 3 | receptor-interacting protein 3 | receptor interacting protein 3 | RIP3 | RIP-3 | receptor-interacting serine-threonine kinase 3	MGI:2154952:Ripk3
HGNC:10023	HGNC:10023	RIT1	Ras like without CAAX 1	Homo sapiens	6016	ENSG00000143622	Q92963 | A0A494C0U3 | A0A494C0S1 | V9GYC3 | V9GY29	PTHR24070	ROC1 | Ric-like, expressed in many tissues | GTP-binding protein Roc1 | MGC125865 | ras-like protein expressed in many tissues | Ras-like without CAAX 1 | GTP-binding protein Rit1 | NS8 | RIBB | MGC125864 | RIT | ras-like without CAAX protein 1	MGI:108053:Rit1
HGNC:10024	HGNC:10024	RLBP1	retinaldehyde binding protein 1	Homo sapiens	6017	ENSG00000140522	P12271 | H3BTN3 | H3BN92	PTHR10174	cellular retinaldehyde-binding protein-1 | MGC3663 | cellular retinaldehyde-binding protein | retinaldehyde-binding protein 1 | CRALBP	MGI:97930:Rlbp1
HGNC:10025	HGNC:10025	RLF	RLF zinc finger	Homo sapiens	6018	ENSG00000117000	Q13129	N.A.	Zn-15 related | rearranged L-myc fusion sequence | MGC142226 | rearranged L-myc fusion | ZN-15L | ZNF292L | rearranged L-myc fusion gene protein | zn-15-related protein | zinc finger protein Rlf	MGI:1924705:Rlf
HGNC:10026	HGNC:10026	RLN1	relaxin 1	Homo sapiens	6013	ENSG00000107018	P04808	N.A.	preprorelaxin H1 | RLXH1 | bA12D24.3.1 | relaxin H1 | H1 | bA12D24.3.2 | prorelaxin H1 | H1RLX	MGI:97931:Rln1
HGNC:10027	HGNC:10027	RLN2	relaxin 2	Homo sapiens	6019	ENSG00000107014	P04090 | H0Y5M9	N.A.	RLXH2 | bA12D24.1.1 | relaxin, ovarian, of pregnancy | prorelaxin H2 | relaxin H2 | bA12D24.1.2 | H2 | H2-RLX | H2-preprorelaxin	MGI:97931:Rln1
HGNC:10031	HGNC:10031	RMRP	RNA component of mitochondrial RNA processing endoribonuclease	Homo sapiens	6023	ENSG00000277027	N.A.	N.A.	CHH | RRP2 | RMRPR | NME1	MGI:97937:Rmrp
HGNC:10037	HGNC:10037	RN7SK	RNA component of 7SK nuclear ribonucleoprotein	Homo sapiens	125050	ENSG00000283293	N.A.	N.A.	7SK | rna, 7sk, nuclear | RNA, 7SK small nuclear	MGI:103186:Rn7sk
HGNC:10038	HGNC:10038	RN7SL1	RNA component of signal recognition particle 7SL1	Homo sapiens	6029	ENSG00000276168	N.A.	N.A.	RNSRP1 | RN7SL | 7SL | RNA, 7SL, cytoplasmic 1 | 7L1a	N.A.
HGNC:10039	HGNC:10039	RN7SL4P	"RNA, 7SL, cytoplasmic 4, pseudogene"	Homo sapiens	6030	ENSG00000263740	N.A.	N.A.	RN7SL427P | RN7SLP1 | 7L28	N.A.
HGNC:1004	HGNC:1004	BCL7A	BAF chromatin remodeling complex subunit BCL7A	Homo sapiens	605	ENSG00000282873	Q4VC05	PTHR12767	BCL7A, BAF complex component | BCL7 | BCL tumor suppressor 7A | B-cell CLL/lymphoma 7A | B-cell CLL/lymphoma-7 | B-cell CLL/lymphoma 7 protein family member A	MGI:1924295:Bcl7a
HGNC:10040	HGNC:10040	RN7SL5P	"RNA, 7SL, cytoplasmic 5, pseudogene"	Homo sapiens	6031	ENSG00000265735	N.A.	N.A.	RN7SLP2 | 7LEM1 | RN7SL249P	N.A.
HGNC:10041	HGNC:10041	RN7SL6P	"RNA, 7SL, cytoplasmic 6, pseudogene"	Homo sapiens	6032	N.A.	N.A.	N.A.	RN7SL848P | RN7SLP3 | 7L7	N.A.
HGNC:10042	HGNC:10042	RN7SL7P	"RNA, 7SL, cytoplasmic 7, pseudogene"	Homo sapiens	6033	ENSG00000266794	N.A.	N.A.	RN7SL27P | RN7SLP4 | 7L23	N.A.
HGNC:10043	HGNC:10043	RN7SL8P	"RNA, 7SL, cytoplasmic 8, pseudogene"	Homo sapiens	6034	ENSG00000243352	N.A.	N.A.	RN7SL433P | 7L63 | RN7SLP5	N.A.
HGNC:10044	HGNC:10044	RNASE1	"ribonuclease A family member 1, pancreatic"	Homo sapiens	6035	ENSG00000129538	P07998 | G3V357 | W0UV93	PTHR11437	ribonuclease, RNase A family, 1 (pancreatic) | RNase upI-1 | RIB-1 | HP-RNase | RNase A | RNS1 | ribonuclease 1 | ribonuclease pancreatic | ribonuclease A C1 | ribonuclease A | RNase 1 | RAC1 | MGC12408 | RIB1	MGI:97919:Rnase1
